name,announce,review,period,messages,messages_per_day
Paul Vallas,5/2/2018,2/27/2019,301,1144,3.80066445182724
Gery Chico,9/20/2018,2/27/2019,160,702,4.3875
Gary McCarthy,5/21/2018,2/27/2019,282,1153,4.0886524822695
Lori Lightfoot,5/10/2018,2/27/2019,293,1317,4.49488054607509
Bill Daley,9/17/2018,2/27/2019,163,641,3.93251533742331
Toni Preckwinkle,9/20/2018,2/27/2019,160,802,5.0125
La Shawn K Ford,10/31/2018,2/27/2019,119,546,4.58823529411765
Jerry Joyce,8/29/2018,2/27/2019,182,424,2.32967032967033
Neal Sales-Griffin,4/21/2018,2/27/2019,312,378,1.21153846153846
Willie Wilson,3/27/2018,2/27/2019,337,981,2.91097922848665
Susana Mendoza,11/14/2018,2/27/2019,105,582,5.54285714285714
Bob Fioretti,11/16/2018,2/27/2019,103,445,4.32038834951456
Amara Enyia,8/28/2018,2/27/2019,183,1615,8.82513661202186
John Kozlar,5/8/2018,2/27/2019,295,108,0.366101694915254
