name,announce,review,period,messages,messages_per_day
Paul Vallas,5/2/2018,1/31/2019,274,818,2.98540146
Gery Chico,9/20/2018,1/31/2019,133,457,3.436090226
Gary McCarthy,5/21/2018,1/31/2019,255,990,3.882352941
Lori Lightfoot,5/10/2018,1/31/2019,266,1049,3.943609023
Bill Daley,9/17/2018,1/31/2019,136,409,3.007352941
Toni Preckwinkle,9/20/2018,1/31/2019,133,409,3.07518797
La Shawn K Ford,10/31/2018,1/31/2019,92,252,2.739130435
Jerry Joyce,8/29/2018,1/31/2019,155,250,1.612903226
Neal Sales-Griffin,4/21/2018,1/31/2019,285,286,1.003508772
Willie Wilson,3/27/2018,1/31/2019,310,645,2.080645161
Susana Mendoza,11/14/2018,1/31/2019,78,248,3.179487179
Bob Fioretti,11/16/2018,1/31/2019,76,274,3.605263158
Amara Enyia,8/28/2018,1/31/2019,156,922,5.91025641
John Kozlar,5/8/2018,1/31/2019,268,62,0.231343284
